courseCode,courseName,courseWeek,duration
noc24-te65,New Spinning Technologies,70 Weeks,January - June 2081
noc24-te66,New Spinning Technologies,71 Weeks,January - June 2082
noc24-te67,New Spinning Technologies,72 Weeks,January - June 2083
noc24-te68,New Spinning Technologies,73 Weeks,January - June 2084
noc24-te69,New Spinning Technologies,74 Weeks,January - June 2085
noc24-te70,New Spinning Technologies,75 Weeks,January - June 2086
noc24-te71,New Spinning Technologies,76 Weeks,January - June 2087
noc24-te72,New Spinning Technologies,77 Weeks,January - June 2088
noc24-te73,New Spinning Technologies,78 Weeks,January - June 2089
noc24-te74,New Spinning Technologies,79 Weeks,January - June 2090
noc24-te75,New Spinning Technologies,80 Weeks,January - June 2091
noc24-te76,New Spinning Technologies,81 Weeks,January - June 2092
noc24-te77,New Spinning Technologies,82 Weeks,January - June 2093
noc24-te78,New Spinning Technologies,83 Weeks,January - June 2094
noc24-te79,New Spinning Technologies,84 Weeks,January - June 2095
noc24-te80,New Spinning Technologies,85 Weeks,January - June 2096
noc24-te81,New Spinning Technologies,86 Weeks,January - June 2097
noc24-te82,New Spinning Technologies,87 Weeks,January - June 2098
noc24-te83,New Spinning Technologies,88 Weeks,January - June 2099
noc24-te84,New Spinning Technologies,89 Weeks,January - June 2100
noc24-te85,New Spinning Technologies,90 Weeks,January - June 2101
noc24-te86,New Spinning Technologies,91 Weeks,January - June 2102
noc24-te87,New Spinning Technologies,92 Weeks,January - June 2103
noc24-te88,New Spinning Technologies,93 Weeks,January - June 2104
noc24-te89,New Spinning Technologies,94 Weeks,January - June 2105
noc24-te90,New Spinning Technologies,95 Weeks,January - June 2106
noc24-te91,New Spinning Technologies,96 Weeks,January - June 2107
noc24-te92,New Spinning Technologies,97 Weeks,January - June 2108
noc24-te93,New Spinning Technologies,98 Weeks,January - June 2109
noc24-te94,New Spinning Technologies,99 Weeks,January - June 2110
noc24-te95,New Spinning Technologies,100 Weeks,January - June 2111
noc24-te96,New Spinning Technologies,101 Weeks,January - June 2112
noc24-te97,New Spinning Technologies,102 Weeks,January - June 2113
noc24-te98,New Spinning Technologies,103 Weeks,January - June 2114
noc24-te99,New Spinning Technologies,104 Weeks,January - June 2115
noc24-te100,New Spinning Technologies,105 Weeks,January - June 2116
noc24-te101,New Spinning Technologies,106 Weeks,January - June 2117
noc24-te102,New Spinning Technologies,107 Weeks,January - June 2118
noc24-te103,New Spinning Technologies,108 Weeks,January - June 2119
noc24-te104,New Spinning Technologies,109 Weeks,January - June 2120
noc24-te105,New Spinning Technologies,110 Weeks,January - June 2121
noc24-te106,New Spinning Technologies,111 Weeks,January - June 2122
noc24-te107,New Spinning Technologies,112 Weeks,January - June 2123
noc24-te108,New Spinning Technologies,113 Weeks,January - June 2124
noc24-te109,New Spinning Technologies,114 Weeks,January - June 2125
noc24-te110,New Spinning Technologies,115 Weeks,January - June 2126
noc24-te111,New Spinning Technologies,116 Weeks,January - June 2127
noc24-te112,New Spinning Technologies,117 Weeks,January - June 2128
noc24-te113,New Spinning Technologies,118 Weeks,January - June 2129
noc24-te114,New Spinning Technologies,119 Weeks,January - June 2130
noc24-te115,New Spinning Technologies,120 Weeks,January - June 2131
noc24-te116,New Spinning Technologies,121 Weeks,January - June 2132
noc24-te117,New Spinning Technologies,122 Weeks,January - June 2133
noc24-te118,New Spinning Technologies,123 Weeks,January - June 2134
noc24-te119,New Spinning Technologies,124 Weeks,January - June 2135
noc24-te120,New Spinning Technologies,125 Weeks,January - June 2136
noc24-te121,New Spinning Technologies,126 Weeks,January - June 2137
noc24-te122,New Spinning Technologies,127 Weeks,January - June 2138
noc24-te123,New Spinning Technologies,128 Weeks,January - June 2139
noc24-te124,New Spinning Technologies,129 Weeks,January - June 2140
noc24-te125,New Spinning Technologies,130 Weeks,January - June 2141
noc24-te126,New Spinning Technologies,131 Weeks,January - June 2142
noc24-te127,New Spinning Technologies,132 Weeks,January - June 2143
noc24-te128,New Spinning Technologies,133 Weeks,January - June 2144
noc24-te129,New Spinning Technologies,134 Weeks,January - June 2145
noc24-te130,New Spinning Technologies,135 Weeks,January - June 2146
noc24-te131,New Spinning Technologies,136 Weeks,January - June 2147
noc24-te132,New Spinning Technologies,137 Weeks,January - June 2148
noc24-te133,New Spinning Technologies,138 Weeks,January - June 2149
noc24-te134,New Spinning Technologies,139 Weeks,January - June 2150
noc24-te135,New Spinning Technologies,140 Weeks,January - June 2151
noc24-te136,New Spinning Technologies,141 Weeks,January - June 2152
noc24-te137,New Spinning Technologies,142 Weeks,January - June 2153
noc24-te138,New Spinning Technologies,143 Weeks,January - June 2154
noc24-te139,New Spinning Technologies,144 Weeks,January - June 2155
noc24-te140,New Spinning Technologies,145 Weeks,January - June 2156
noc24-te141,New Spinning Technologies,146 Weeks,January - June 2157
noc24-te142,New Spinning Technologies,147 Weeks,January - June 2158
noc24-te143,New Spinning Technologies,148 Weeks,January - June 2159
